t,x,y,yaw_deg,v,nearest_idx,target_idx,target_x,target_y,delta_deg,delta_rad
12.0,54.74597,3.74247,-83.22501,8.0,166,175,54.54423,-5.20945,-5.8085565,-0.1013784
12.05,54.79316,3.34526,-84.02894,8.0,166,175,54.54423,-5.20945,-5.5040189,-0.0960633
12.1,54.83477,2.94743,-84.79046,8.0,166,175,54.54423,-5.20945,-5.2273042,-0.0912337
12.15,54.87109,2.54908,-85.51348,8.0,167,176,54.36407,-6.1442,-5.6368073,-0.0983808
12.2,54.90238,2.15031,-86.29349,8.0,167,176,54.36407,-6.1442,-5.3487013,-0.0933524
12.25,54.92824,1.75114,-87.03339,8.0,168,177,54.15435,-7.07277,-5.7466328,-0.1002977
12.3,54.94894,1.35168,-87.8287,8.0,168,177,54.15435,-7.07277,-5.4482588,-0.0950901
12.35,54.96409,0.95197,-88.58245,8.0,168,177,54.15435,-7.07277,-5.1774237,-0.0903631
12.4,54.97399,0.55209,-89.29853,8.0,169,178,53.91526,-7.99421,-5.5933822,-0.0976229
12.45,54.97889,0.15212,-90.07249,8.0,169,178,53.91526,-7.99421,-5.310548,-0.0926865
12.5,54.97838,-0.24788,-90.80709,8.0,170,179,53.64707,-8.90761,-5.7139841,-0.0997278
12.55,54.97275,-0.64784,-91.59784,8.0,170,179,53.64707,-8.90761,-5.42032,-0.0946024
12.6,54.96159,-1.04768,-92.34771,8.0,171,180,53.35002,-9.81204,-5.81234,-0.1014445
12.65,54.94521,-1.44735,-93.15218,8.0,171,180,53.35002,-9.81204,-5.5089585,-0.0961495
12.7,54.92321,-1.84674,-93.91438,8.0,171,180,53.35002,-9.81204,-5.2334097,-0.0913402
12.75,54.8959,-2.24581,-94.63825,8.0,172,181,53.02444,-10.70659,-5.6439182,-0.098505
12.8,54.86356,-2.6445,-95.41925,8.0,172,181,53.02444,-10.70659,-5.3568449,-0.0934946
12.85,54.82578,-3.04271,-96.16028,8.0,173,182,52.67063,-11.59035,-5.7552716,-0.1004484
12.9,54.78286,-3.4404,-96.95679,8.0,173,182,52.67063,-11.59035,-5.4578205,-0.0952569
12.95,54.73441,-3.83746,-97.71188,8.0,174,183,52.28896,-12.46245,-5.845353,-0.1020207
13.0,54.68073,-4.23384,-98.52095,8.0,174,183,52.28896,-12.46245,-5.5386077,-0.0966669
13.05,54.62146,-4.62942,-99.28728,8.0,174,183,52.28896,-12.46245,-5.2598475,-0.0918017
13.1,54.55691,-5.02418,-100.01482,8.0,175,184,51.87981,-13.322,-5.6665948,-0.0989007
13.15,54.48735,-5.41809,-100.79898,8.0,175,184,51.87981,-13.322,-5.3766581,-0.0938404
